Team,ERA,WHIP,FIP,K%,BB%,HardHit%
TEX,3.3,1.15,3.62,0.21600000000000003,0.077,0.401
NYM,3.3,1.28,3.56,0.231,0.098,0.414
SFG,3.41,1.24,3.47,0.231,0.085,0.386
HOU,3.41,1.14,3.52,0.27,0.081,0.39799999999999996
NYY,3.43,1.17,3.59,0.251,0.08800000000000001,0.39
KCR,3.43,1.21,3.74,0.22,0.078,0.389
DET,3.51,1.2,3.85,0.228,0.078,0.39899999999999997
SDP,3.67,1.22,3.83,0.23600000000000002,0.08800000000000001,0.4
TBR,3.7,1.19,4.23,0.221,0.075,0.42100000000000004
PHI,3.77,1.27,3.65,0.244,0.077,0.39399999999999996
CIN,3.81,1.21,4.16,0.218,0.083,0.39
ATL,3.82,1.24,3.9,0.24600000000000002,0.087,0.41100000000000003
PIT,3.83,1.21,3.84,0.2,0.08199999999999999,0.402
MIL,3.85,1.3,4.05,0.22399999999999998,0.092,0.389
CHC,3.91,1.26,4.17,0.20199999999999999,0.075,0.40700000000000003
CLE,3.92,1.37,4.06,0.221,0.096,0.402
STL,3.95,1.25,3.68,0.19399999999999998,0.071,0.425
SEA,4.02,1.29,4.27,0.212,0.08,0.41
BOS,4.03,1.34,3.94,0.22,0.091,0.40299999999999997
TOR,4.09,1.24,4.24,0.239,0.085,0.41
MIN,4.14,1.24,3.68,0.233,0.071,0.41200000000000003
CHW,4.18,1.4,4.5,0.19,0.096,0.415
LAD,4.2,1.32,4.3,0.23,0.09300000000000001,0.415
LAA,4.61,1.46,4.62,0.204,0.10099999999999999,0.418
ARI,4.76,1.34,4.42,0.222,0.086,0.426
MIA,4.88,1.39,4.4,0.201,0.09,0.418
BAL,4.94,1.42,4.46,0.214,0.084,0.42100000000000004
WSN,4.99,1.39,4.43,0.205,0.087,0.435
ATH,5.42,1.49,4.85,0.19899999999999998,0.094,0.405
COL,5.59,1.56,4.82,0.16899999999999998,0.08800000000000001,0.42100000000000004
