Name,Team,ERA,GB%,HardHit%,IP,CStr%,ERA_inv,HardHit_inv,ERA_scaled,GB_scaled,HardHit_scaled,IP_scaled,CStr_scaled,score
Framber Valdez,HOU,2.88,0.595,0.47200000000000003,103.0,0.17300000000000001,2.87,0.02999999999999997,0.71571072319202,0.8412698412698412,0.15306122448979576,0.7889273356401385,0.6029411764705885,0.9437777804144004
Jose Soriano,LAA,3.99,0.655,0.47600000000000003,97.0,0.161,1.7599999999999998,0.025999999999999968,0.4389027431421446,1.0,0.13265306122448964,0.5813148788927336,0.42647058823529416,0.9291998701343526
Max Fried,NYY,1.92,0.531,0.381,108.0,0.16399999999999998,3.83,0.121,0.9551122194513716,0.6719576719576721,0.6173469387755102,0.9619377162629759,0.4705882352941171,0.9120990935451325
Logan Webb,SFG,2.52,0.535,0.34600000000000003,107.1,0.2,3.23,0.15599999999999997,0.8054862842892768,0.6825396825396826,0.7959183673469387,0.9307958477508653,1.0000000000000002,0.9045076658603395
Cristopher Sanchez,PHI,2.79,0.5539999999999999,0.40399999999999997,93.2,0.16899999999999998,2.96,0.09800000000000003,0.7381546134663342,0.7328042328042326,0.5000000000000001,0.4498269896193774,0.5441176470588232,0.8458629254270448
Yoshinobu Yamamoto,LAD,2.61,0.5429999999999999,0.414,89.2,0.174,3.14,0.08800000000000002,0.7830423940149627,0.7037037037037035,0.4489795918367348,0.3114186851211076,0.6176470588235292,0.836337361293677
David Peterson,NYM,3.3,0.561,0.452,95.1,0.182,2.45,0.04999999999999999,0.6109725685785536,0.7513227513227514,0.2551020408163265,0.5155709342560555,0.7352941176470587,0.8335812038211532
Hunter Brown,HOU,1.74,0.484,0.306,98.0,0.17600000000000002,4.01,0.196,1.0,0.5476190476190477,1.0,0.6159169550173011,0.6470588235294119,0.8280565167243368
Clay Holmes,NYM,2.97,0.5379999999999999,0.42100000000000004,88.0,0.18600000000000003,2.78,0.08099999999999996,0.6932668329177057,0.6904761904761902,0.4132653061224488,0.26989619377162644,0.7941176470588236,0.8057777629168139
Andre Pallante,STL,4.43,0.633,0.439,87.1,0.14400000000000002,1.3200000000000003,0.063,0.32917705735660857,0.9417989417989419,0.3214285714285714,0.23875432525951545,0.17647058823529416,0.8056130978461828
Paul Skenes,PIT,2.12,0.489,0.396,106.0,0.151,3.63,0.10599999999999998,0.9052369077306733,0.5608465608465609,0.5408163265306122,0.8927335640138412,0.279411764705882,0.7973364099523074
Garrett Crochet,BOS,2.06,0.479,0.36200000000000004,109.1,0.153,3.69,0.13999999999999996,0.9201995012468828,0.5343915343915344,0.7142857142857141,1.0,0.3088235294117647,0.7943056642163653
Drew Rasmussen,TBR,2.45,0.5,0.441,84.1,0.17600000000000002,3.3,0.061,0.8229426433915212,0.58994708994709,0.3112244897959184,0.13494809688581322,0.6470588235294119,0.7596434071811373
Kris Bubic,KCR,2.18,0.449,0.391,91.0,0.162,3.57,0.11099999999999999,0.8902743142144638,0.4550264550264551,0.5663265306122448,0.37370242214532867,0.4411764705882353,0.6912304454485981
Spencer Schwellenbach,ATL,3.21,0.46799999999999997,0.418,103.2,0.16699999999999998,2.54,0.08400000000000002,0.6334164588528679,0.5052910052910053,0.42857142857142866,0.7958477508650521,0.5147058823529409,0.673690986793557
Jacob deGrom,TEX,2.08,0.423,0.397,95.1,0.156,3.67,0.10499999999999998,0.915211970074813,0.3862433862433863,0.5357142857142856,0.5155709342560555,0.3529411764705881,0.6558329682010532
Tarik Skubal,DET,2.29,0.419,0.321,102.0,0.155,3.46,0.181,0.8628428927680798,0.3756613756613758,0.923469387755102,0.754325259515571,0.33823529411764697,0.6469000169542825
Carlos Rodon,NYY,2.92,0.423,0.4,101.2,0.17800000000000002,2.83,0.10199999999999998,0.7057356608478803,0.3862433862433863,0.520408163265306,0.7266435986159174,0.6764705882352942,0.6226114156809693
Chris Bassitt,TOR,3.61,0.473,0.348,92.1,0.168,2.14,0.15400000000000003,0.5336658354114714,0.5185185185185186,0.7857142857142858,0.4117647058823528,0.5294117647058825,0.6203342406510955
Merrill Kelly,ARI,3.49,0.45299999999999996,0.451,98.0,0.16899999999999998,2.26,0.05099999999999999,0.5635910224438903,0.4656084656084656,0.260204081632653,0.6159169550173011,0.5441176470588232,0.6101853789369968
Shane Baz,TBR,4.37,0.5,0.41100000000000003,90.2,0.17,1.38,0.09099999999999997,0.34413965087281795,0.58994708994709,0.46428571428571414,0.34602076124567516,0.5588235294117647,0.6012751625677573
Mitch Keller,PIT,3.9,0.45,0.42100000000000004,99.1,0.18,1.85,0.08099999999999996,0.4613466334164589,0.4576719576719577,0.4132653061224488,0.6539792387543253,0.7058823529411764,0.5838313114432936
Zack Wheeler,PHI,2.55,0.402,0.326,99.0,0.147,3.2,0.176,0.7980049875311721,0.3306878306878309,0.8979591836734693,0.6505190311418687,0.22058823529411753,0.5761162721000906
Tanner Bibee,CLE,3.8,0.44,0.376,94.2,0.184,1.9500000000000002,0.126,0.48628428927680806,0.4312169312169314,0.6428571428571428,0.48442906574394495,0.7647058823529409,0.5657364742060013
Seth Lugo,KCR,2.93,0.41,0.457,83.0,0.19,2.82,0.044999999999999984,0.7032418952618453,0.35185185185185186,0.2295918367346938,0.09688581314878908,0.8529411764705881,0.5636679838593954
Grant Holmes,ATL,3.7,0.45799999999999996,0.439,90.0,0.153,2.05,0.063,0.5112219451371571,0.47883597883597884,0.3214285714285714,0.33910034602076156,0.3088235294117647,0.5627071566406296
Chris Sale,ATL,2.52,0.389,0.314,89.1,0.175,3.23,0.188,0.8054862842892768,0.2962962962962965,0.9591836734693877,0.3079584775086506,0.6323529411764703,0.5598509633100385
Taj Bradley,TBR,4.57,0.504,0.376,86.2,0.14800000000000002,1.1799999999999997,0.126,0.29426433915211964,0.6005291005291007,0.6428571428571428,0.20761245674740492,0.2352941176470591,0.5565808821531971
Yusei Kikuchi,LAA,2.79,0.39,0.41200000000000003,96.2,0.16899999999999998,2.96,0.08999999999999997,0.7381546134663342,0.29894179894179906,0.4591836734693876,0.5536332179930796,0.5441176470588232,0.549944688851369
Luis L. Ortiz,CLE,4.36,0.465,0.469,88.2,0.179,1.3899999999999997,0.03300000000000003,0.3466334164588528,0.49735449735449744,0.16836734693877567,0.27681660899654004,0.6911764705882353,0.5420693248776048
Jose Berrios,TOR,3.26,0.392,0.40399999999999997,102.0,0.17300000000000001,2.49,0.09800000000000003,0.6209476309226933,0.3042328042328044,0.5000000000000001,0.754325259515571,0.6029411764705885,0.5320896164848676
Gavin Williams,CLE,3.68,0.44799999999999995,0.395,80.2,0.155,2.07,0.10699999999999998,0.5162094763092269,0.45238095238095233,0.5459183673469387,0.0,0.33823529411764697,0.5227076304337196
Bryan Woo,SEA,3.12,0.401,0.384,95.1,0.151,2.63,0.118,0.655860349127182,0.32804232804232814,0.6020408163265306,0.5155709342560555,0.279411764705882,0.5188044542462887
Joe Ryan,MIN,2.86,0.389,0.377,91.1,0.156,2.89,0.125,0.7206982543640899,0.2962962962962965,0.6377551020408163,0.37716262975778525,0.3529411764705881,0.514409581901967
Sonny Gray,STL,3.36,0.389,0.37,93.2,0.182,2.39,0.132,0.5960099750623442,0.2962962962962965,0.673469387755102,0.4498269896193774,0.7352941176470587,0.5048949817242108
Zack Littell,TBR,3.78,0.418,0.41100000000000003,97.2,0.152,1.9700000000000002,0.09099999999999997,0.49127182044887785,0.373015873015873,0.46428571428571414,0.5882352941176472,0.2941176470588236,0.4992327188564536
Nick Lodolo,CIN,3.63,0.419,0.424,89.1,0.151,2.12,0.07800000000000001,0.5286783042394015,0.3756613756613758,0.39795918367346944,0.3079584775086506,0.279411764705882,0.4920531376128435
